id,year,text_label,total_score
godhavn_2019,2019,Godhavn Boys speech 2019,12
greenlandic_children_letter_2020,2020,Greenlandic children letter 2020,-1
greenlandic_children_speech_2022,2022,Greenlandic children speech 2022,-5
mindelunden_2005,2005,Occupation/refugees speech 2005,-37
pnr_1999,1999,Thule/Inughuit declaration 1999,26
spiral_case_2025,2025,Spiral case speech 2025,-13
