id,year,author,text_type,case,source_file
pnr_1999,1999,Poul Nyrup Rasmussen,joint declaration,Thule/Inughuit,pnr_1999.pdf
mindelunden_2005,2005,Anders Fogh Rasmussen,memorial speech,Occupation/refugees,mindelunden_2005.pdf
godhavn_2019,2019,Mette Frederiksen,speech,Godhavn Boys,godhavn_2019.pdf
greenlandic_children_letter_2020,2020,Mette Frederiksen,letter,Greenlandic children 1951,greenlandic_children_letter_2020.pdf
greenlandic_children_speech_2022,2022,Mette Frederiksen,speech,Greenlandic children 1951,greenlandic_children_speech_2022.pdf
spiral_case_2025,2025,Mette Frederiksen,speech,Spiral case,spiral_case_2025.pdf
